train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC04,MSC10,motor,0.99,1.0,0.990909090909091,0.990909090909091,1.0,1.0
MSC04,MSC10,mem,0.925,1.0,0.8844988344988345,1.0,1.0,1.0
MSC05,MSC01,glass,0.55,0.95,1.0,0.5263157894736842,,0.95
MSC05,MSC01,semantic,0.885,0.95,1.0,0.8265692640692641,,0.95
MSC05,MSC01,motor,0.625,1.0,1.0,0.5744969040247678,1.0,1.0
MSC05,MSC01,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC05,MSC02,glass,0.68,0.95,1.0,0.6136671335200747,,0.95
MSC05,MSC02,semantic,0.825,0.95,1.0,0.7417582417582418,,0.95
MSC05,MSC02,motor,0.905,1.0,1.0,0.8420745920745921,1.0,1.0
MSC05,MSC02,mem,0.77,1.0,0.6863095238095238,1.0,1.0,1.0
MSC05,MSC03,glass,0.605,0.95,1.0,0.5588235294117647,,0.95
MSC05,MSC03,semantic,0.94,0.95,1.0,0.8954545454545455,,0.95
MSC05,MSC03,motor,0.845,1.0,1.0,0.7637362637362638,1.0,1.0
MSC05,MSC03,mem,0.9333333333333333,1.0,0.9216666666666666,0.9527272727272728,1.0,1.0
MSC05,MSC04,glass,0.505,0.95,,0.5026315789473684,,0.95
MSC05,MSC04,semantic,0.6849999999999999,0.95,1.0,0.6139705882352942,,0.95
MSC05,MSC04,motor,0.705,1.0,1.0,0.633050527903469,1.0,1.0
MSC05,MSC04,mem,0.8150000000000001,1.0,0.9263888888888889,0.7542540792540793,1.0,1.0
MSC05,MSC06,glass,0.6210526315789473,0.95,1.0,0.5816993464052288,,0.95
MSC05,MSC06,semantic,0.73,0.95,1.0,0.6505952380952381,,0.95
MSC05,MSC06,motor,0.8,1.0,1.0,0.726007326007326,1.0,1.0
MSC05,MSC06,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC05,MSC07,glass,0.545,0.95,,0.5236842105263158,,0.95
MSC05,MSC07,semantic,0.81,0.95,1.0,0.7274725274725274,,0.95
MSC05,MSC07,motor,0.7052631578947368,1.0,1.0,0.642156862745098,1.0,1.0
MSC05,MSC07,mem,0.9199999999999999,1.0,0.9497979797979798,0.8987878787878788,1.0,1.0
MSC05,MSC10,glass,0.505,0.95,,0.5026315789473684,,0.95
MSC05,MSC10,semantic,0.62,0.95,,0.5727640178878569,,0.95
MSC05,MSC10,motor,0.71,1.0,1.0,0.6333333333333333,1.0,1.0
MSC05,MSC10,mem,0.895,1.0,0.8918181818181818,0.8988888888888888,1.0,1.0
MSC06,MSC01,glass,0.5611111111111111,0.8333333333333334,,0.5416104363472785,,0.8333333333333334
MSC06,MSC01,semantic,0.865,0.95,1.0,0.8133769008769008,,0.95
MSC06,MSC01,motor,0.7166666666666667,1.0,,0.6801726538568644,1.0,1.0
MSC06,MSC01,mem,0.945,1.0,0.9224598930481284,1.0,1.0,1.0
MSC06,MSC02,glass,0.5055555555555555,0.8333333333333334,,0.5029239766081871,,0.8333333333333334
MSC06,MSC02,semantic,0.775,0.95,0.9888888888888889,0.6966991341991342,,0.95
MSC06,MSC02,motor,0.5888888888888889,1.0,1.0,0.5520391392424416,1.0,1.0
MSC06,MSC02,mem,0.945,1.0,0.9714285714285714,0.9378787878787879,1.0,1.0
MSC06,MSC03,glass,0.5,0.8333333333333334,,0.5,,0.8333333333333334
MSC06,MSC03,semantic,0.845,0.95,0.9818181818181818,0.781995781995782,,0.95
MSC06,MSC03,motor,0.8277777777777777,1.0,1.0,0.7587181337181337,1.0,1.0
MSC06,MSC03,mem,0.8777777777777778,1.0,0.8053768453768454,1.0,1.0,1.0
MSC06,MSC04,glass,0.6388888888888888,0.8333333333333334,,0.5919762641898865,,0.8333333333333334
MSC06,MSC04,semantic,0.83,0.95,1.0,0.7744370825253178,,0.95
MSC06,MSC04,motor,0.9611111111111111,1.0,1.0,0.9444444444444444,1.0,1.0
MSC06,MSC04,mem,0.975,1.0,0.9651515151515151,0.990909090909091,1.0,1.0
MSC06,MSC05,glass,0.538888888888889,0.8333333333333334,,0.52046783625731,,0.8333333333333334
MSC06,MSC05,semantic,0.805,0.95,1.0,0.7263028638028638,,0.95
MSC06,MSC05,motor,0.7055555555555555,1.0,1.0,0.6334003686944863,1.0,1.0
MSC06,MSC05,mem,0.99,1.0,1.0,0.9818181818181818,1.0,1.0
MSC06,MSC07,glass,0.5722222222222223,0.8333333333333334,,0.5457913259770845,,0.8333333333333334
MSC06,MSC07,semantic,0.91,0.95,0.9623376623376624,0.8996503496503496,,0.95
MSC06,MSC07,motor,0.9532163742690059,1.0,1.0,0.9242424242424242,1.0,1.0
MSC06,MSC07,mem,0.775,1.0,0.7119370825253178,,1.0,1.0
MSC06,MSC10,glass,0.5555555555555556,0.8333333333333334,,0.5432098765432098,,0.8333333333333334
MSC06,MSC10,semantic,0.83,0.95,0.9818181818181818,0.7713023088023088,,0.95
MSC06,MSC10,motor,0.8277777777777778,1.0,1.0,0.7530987530987531,1.0,1.0
MSC06,MSC10,mem,0.9,1.0,0.8635642135642135,1.0,1.0,1.0
MSC07,MSC01,glass,0.555,0.85,1.0,0.5292397660818713,,0.85
MSC07,MSC01,semantic,0.665,1.0,1.0,0.5996732026143791,1.0,1.0
MSC07,MSC01,motor,0.8944444444444445,0.9444444444444444,0.9518518518518518,0.874928774928775,,0.9444444444444444
MSC07,MSC01,mem,0.9199999999999999,1.0,0.8696969696969696,1.0,1.0,1.0
MSC07,MSC02,glass,0.5,0.85,,0.5,,0.85
MSC07,MSC02,semantic,0.555,1.0,1.0,0.5292397660818713,1.0,1.0
MSC07,MSC02,motor,0.7888888888888889,0.9444444444444444,1.0,0.7071632071632071,,0.9444444444444444
MSC07,MSC02,mem,0.855,1.0,0.8398692810457516,0.9818181818181818,1.0,1.0
MSC07,MSC03,glass,0.5,0.85,,0.5,,0.85
MSC07,MSC03,semantic,0.5,1.0,,0.5,1.0,1.0
MSC07,MSC03,motor,0.8722222222222222,0.9444444444444444,0.9271604938271605,0.8323232323232324,,0.9444444444444444
MSC07,MSC03,mem,0.7666666666666666,1.0,0.6637495837495837,1.0,1.0,1.0
MSC07,MSC04,glass,0.5,0.85,,0.5,,0.85
MSC07,MSC04,semantic,0.53,1.0,,0.5166666666666667,1.0,1.0
