sub,session,task,rt,corr
MSC01,Session 5,coherent,845,corr
MSC01,Session 5,random,722,corr
MSC01,Session 5,random,704,corr
MSC01,Session 5,random,761,corr
MSC01,Session 5,random,687,corr
MSC01,Session 5,random,775,corr
MSC01,Session 5,random,727,corr
MSC01,Session 5,coherent,758,corr
MSC01,Session 5,coherent,662,corr
MSC01,Session 5,coherent,606,corr
MSC01,Session 5,random,835,corr
MSC01,Session 5,random,833,corr
MSC01,Session 5,coherent,932,err
MSC01,Session 5,random,835,corr
MSC01,Session 5,coherent,973,corr
MSC01,Session 5,coherent,1077,corr
MSC01,Session 5,coherent,640,corr
MSC01,Session 5,random,777,corr
MSC01,Session 5,random,863,corr
MSC01,Session 5,coherent,801,corr
MSC01,Session 5,random,745,corr
MSC01,Session 5,coherent,951,corr
MSC01,Session 5,random,989,corr
MSC01,Session 5,coherent,1240,corr
MSC01,Session 5,random,1099,corr
MSC01,Session 5,coherent,820,corr
MSC01,Session 5,random,805,corr
MSC01,Session 5,Verb,2029,corr
MSC01,Session 5,Verb,917,corr
MSC01,Session 5,Verb,1670,corr
MSC01,Session 5,Noun,970,corr
MSC01,Session 5,Noun,1567,err
MSC01,Session 5,Noun,1353,corr
MSC01,Session 5,Noun,798,corr
MSC01,Session 5,Verb,1247,corr
MSC01,Session 5,Noun,1044,corr
MSC01,Session 5,Noun,729,corr
MSC01,Session 5,Noun,1247,corr
MSC01,Session 5,Verb,1439,corr
MSC01,Session 5,Verb,932,corr
MSC01,Session 5,Verb,1069,corr
MSC01,Session 5,Verb,1304,corr
MSC01,Session 5,Noun,1193,corr
MSC01,Session 5,Verb,938,corr
MSC01,Session 5,Noun,1532,corr
MSC01,Session 5,Verb,1437,err
MSC01,Session 5,Noun,2148,corr
MSC01,Session 5,Noun,1125,corr
MSC01,Session 5,Verb,1118,corr
MSC01,Session 5,Verb,1505,err
MSC01,Session 5,Noun,1061,corr
MSC01,Session 5,Noun,850,corr
MSC01,Session 5,Noun,878,corr
MSC01,Session 5,Noun,1480,corr
MSC01,Session 5,Verb,1000,corr
MSC01,Session 5,Verb,1068,corr
MSC01,Session 5,Verb,1162,corr
MSC01,Session 5,Verb,1061,corr
MSC01,Session 5,Noun,992,corr
MSC01,Session 5,Verb,978,corr
MSC01,Session 5,Verb,938,corr
MSC01,Session 5,Noun,1199,corr
MSC01,Session 5,Verb,904,corr
MSC01,Session 5,Noun,1230,corr
MSC01,Session 5,Noun,1263,corr
MSC01,Session 5,Noun,1357,corr
MSC01,Session 5,Verb,915,corr
MSC01,Session 5,Noun,1516,corr
MSC01,Session 5,Verb,878,corr
MSC01,Session 5,Noun,1328,corr
MSC01,Session 5,Verb,966,corr
MSC01,Session 5,Noun,815,corr
MSC01,Session 5,Verb,1014,corr
MSC01,Session 5,Noun,1826,corr
MSC01,Session 5,Noun,1188,corr
MSC01,Session 5,Noun,1071,corr
MSC01,Session 5,Verb,924,corr
MSC01,Session 5,Verb,1036,corr
MSC01,Session 5,Verb,981,corr
MSC01,Session 5,Verb,1062,corr
MSC01,Session 5,Noun,992,corr
MSC01,Session 5,Noun,1107,corr
MSC01,Session 5,Verb,1468,corr
MSC01,Session 5,Noun,1523,corr
MSC01,Session 5,Noun,1521,err
MSC01,Session 5,Verb,1451,corr
MSC01,Session 5,Verb,919,corr
MSC01,Session 5,coherent,1020,corr
MSC01,Session 5,coherent,713,corr
MSC01,Session 5,random,899,corr
MSC01,Session 5,random,1164,corr
MSC01,Session 5,random,1141,corr
MSC01,Session 5,random,811,corr
MSC01,Session 5,coherent,798,corr
MSC01,Session 5,coherent,859,corr
MSC01,Session 5,random,893,corr
MSC01,Session 5,coherent,1028,corr
MSC01,Session 5,coherent,666,corr
MSC01,Session 5,coherent,820,corr
MSC01,Session 5,coherent,805,corr
MSC01,Session 5,random,793,corr
MSC01,Session 5,random,696,corr
MSC01,Session 5,random,972,corr
MSC01,Session 5,random,871,corr
MSC01,Session 5,random,755,corr
