sub,sess,rating,rt,corr
MSC01,Session 1,indoor,974,corr
MSC01,Session 1,indoor,771,corr
MSC01,Session 1,indoor,646,corr
MSC01,Session 1,Abstract,789,corr
MSC01,Session 1,Abstract,652,corr
MSC01,Session 1,Abstract,948,corr
MSC01,Session 1,Abstract,1352,corr
MSC01,Session 1,Abstract,710,corr
MSC01,Session 1,Abstract,798,corr
MSC01,Session 1,Abstract,1207,corr
MSC01,Session 1,Abstract,1139,corr
MSC01,Session 1,Abstract,893,corr
MSC01,Session 1,Concrete,770,corr
MSC01,Session 1,Concrete,641,corr
MSC01,Session 1,Concrete,985,corr
MSC01,Session 1,Concrete,1123,corr
MSC01,Session 1,Concrete,1178,corr
MSC01,Session 1,Concrete,1127,corr
MSC01,Session 1,Concrete,893,corr
MSC01,Session 1,Concrete,661,corr
MSC01,Session 1,Concrete,901,corr
MSC01,Session 1,Abstract,921,corr
MSC01,Session 1,Abstract,676,corr
MSC01,Session 1,Abstract,828,corr
MSC01,Session 1,Abstract,1240,corr
MSC01,Session 1,Abstract,808,corr
MSC01,Session 1,Abstract,1030,corr
MSC01,Session 1,Concrete,911,corr
MSC01,Session 1,Concrete,747,corr
MSC01,Session 1,Concrete,750,corr
MSC01,Session 1,Abstract,884,corr
MSC01,Session 1,Abstract,948,corr
MSC01,Session 1,Abstract,1359,corr
MSC01,Session 1,Concrete,799,corr
MSC01,Session 1,Concrete,650,corr
MSC01,Session 1,Concrete,937,corr
MSC01,Session 1,Concrete,1465,err
MSC01,Session 1,Concrete,1441,corr
MSC01,Session 1,Concrete,1258,corr
MSC01,Session 1,Abstract,1522,corr
MSC01,Session 1,Abstract,858,corr
MSC01,Session 1,Abstract,968,corr
MSC01,Session 1,Abstract,1497,corr
MSC01,Session 1,Abstract,937,corr
MSC01,Session 1,Abstract,1164,corr
MSC01,Session 1,Concrete,935,corr
MSC01,Session 1,Concrete,596,corr
MSC01,Session 1,Concrete,713,corr
MSC01,Session 1,Abstract,1467,corr
MSC01,Session 1,Abstract,926,corr
MSC01,Session 1,Abstract,950,corr
MSC01,Session 1,Abstract,1363,corr
MSC01,Session 1,Abstract,863,corr
MSC01,Session 1,Abstract,1169,corr
MSC01,Session 1,Concrete,1067,corr
MSC01,Session 1,Concrete,1062,corr
MSC01,Session 1,Concrete,662,corr
