train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC05,MSC04,pres3,0.5,0.95,,0.5,,0.95
MSC05,MSC06,pres1,0.84,1.0,1.0,0.7666167166167166,1.0,1.0
MSC05,MSC06,pres2,0.555,1.0,1.0,0.5292397660818713,1.0,1.0
MSC05,MSC06,pres3,0.605,0.95,1.0,0.5588235294117647,,0.95
MSC05,MSC07,pres1,0.905,1.0,1.0,0.848001998001998,1.0,1.0
MSC05,MSC07,pres2,0.545,1.0,,0.5239766081871344,1.0,1.0
MSC05,MSC07,pres3,0.5,0.95,,0.5,,0.95
MSC05,MSC10,pres1,0.915,1.0,1.0,0.8583916083916084,1.0,1.0
MSC05,MSC10,pres2,0.655,1.0,1.0,0.593218954248366,1.0,1.0
MSC05,MSC10,pres3,0.54,0.95,,0.5210526315789473,,0.95
MSC06,MSC01,pres1,0.965,0.85,0.9484848484848485,1.0,,0.85
MSC06,MSC01,pres2,0.63,0.8,,0.5891917293233083,,0.8
MSC06,MSC01,pres3,0.52,0.9,,0.5125,,0.9
MSC06,MSC02,pres1,0.95,0.85,0.990909090909091,0.9181818181818182,,0.85
MSC06,MSC02,pres2,0.735,0.8,1.0,0.6552521008403361,,0.8
MSC06,MSC02,pres3,0.505,0.9,,0.5026315789473684,,0.9
MSC06,MSC03,pres1,0.9722222222222222,0.85,0.9615384615384616,1.0,,0.85
MSC06,MSC03,pres2,0.8,0.8,1.0,0.7419737125619479,,0.8
MSC06,MSC03,pres3,0.5611111111111111,0.9,,0.5588235294117647,,0.9
MSC06,MSC04,pres1,0.905,0.85,1.0,0.8464868464868465,,0.85
MSC06,MSC04,pres2,0.715,0.8,,0.6433473389355742,,0.8
MSC06,MSC04,pres3,0.515,0.9,,0.5088235294117647,,0.9
MSC06,MSC05,pres1,0.89,0.85,1.0,0.8205128205128206,,0.85
MSC06,MSC05,pres2,0.665,0.8,1.0,0.6009158926728586,,0.8
MSC06,MSC05,pres3,0.54,0.9,,0.5245614035087719,,0.9
MSC06,MSC07,pres1,0.835,0.85,0.9503174603174603,0.7947119547119548,,0.85
MSC06,MSC07,pres2,0.84,0.8,0.9833333333333334,0.78003663003663,,0.8
MSC06,MSC07,pres3,0.515,0.9,,0.5088235294117647,,0.9
MSC06,MSC10,pres1,0.985,0.85,0.9742424242424242,1.0,,0.85
MSC06,MSC10,pres2,0.755,0.8,1.0,0.6788992869875222,,0.8
MSC06,MSC10,pres3,0.5750000000000001,0.9,1.0,0.5451127819548872,,0.9
MSC07,MSC01,pres1,0.99,0.95,1.0,0.9833333333333334,,0.95
MSC07,MSC01,pres2,0.5700000000000001,0.7,1.0,0.5391081871345029,,0.7
MSC07,MSC01,pres3,0.59,0.75,,0.5536119711042312,,0.75
MSC07,MSC02,pres1,0.885,0.95,1.0,0.8141025641025641,,0.95
MSC07,MSC02,pres2,0.71,0.7,1.0,0.6374883286647992,,0.7
MSC07,MSC02,pres3,0.51,0.75,,0.5055555555555555,,0.75
MSC07,MSC03,pres1,0.8722222222222222,0.95,1.0,0.8164335664335665,,0.95
MSC07,MSC03,pres2,0.6444444444444445,0.7,1.0,0.6112745098039216,,0.7
MSC07,MSC03,pres3,0.5722222222222222,0.75,,0.5657679738562091,,0.75
MSC07,MSC04,pres1,0.865,0.95,1.0,0.7910256410256411,,0.95
MSC07,MSC04,pres2,0.585,0.7,,0.5508040935672515,,0.7
MSC07,MSC04,pres3,0.505,0.75,,0.5026315789473684,,0.75
MSC07,MSC05,pres1,0.85,0.95,1.0,0.771978021978022,,0.95
MSC07,MSC05,pres2,0.555,0.7,1.0,0.5292397660818713,,0.7
MSC07,MSC05,pres3,0.505,0.75,,0.5026315789473684,,0.75
MSC07,MSC06,pres1,0.68,0.95,1.0,0.62087671100829,,0.95
MSC07,MSC06,pres2,0.63,0.7,1.0,0.5843681602195534,,0.7
MSC07,MSC06,pres3,0.5,0.75,,0.5,,0.75
MSC07,MSC10,pres1,0.78,0.95,0.8582900432900433,0.7478021978021978,,0.95
MSC07,MSC10,pres2,0.625,0.7,1.0,0.5723039215686274,,0.7
MSC07,MSC10,pres3,0.51,0.75,,0.5055555555555555,,0.75
MSC10,MSC01,pres1,0.94,1.0,1.0,0.903030303030303,1.0,1.0
MSC10,MSC01,pres2,0.54,0.8,,0.5213450292397661,,0.8
MSC10,MSC01,pres3,0.5,0.7,,0.5,,0.7
MSC10,MSC02,pres1,0.88,1.0,1.0,0.8185148185148186,1.0,1.0
MSC10,MSC02,pres2,0.585,0.8,,0.5481080151358789,,0.8
MSC10,MSC02,pres3,0.545,0.7,,0.5236842105263158,,0.7
MSC10,MSC03,pres1,1.0,1.0,1.0,1.0,1.0,1.0
MSC10,MSC03,pres2,0.7,0.8,1.0,0.6534987071751778,,0.8
MSC10,MSC03,pres3,0.6111111111111112,0.7,1.0,0.5882352941176471,,0.7
MSC10,MSC04,pres1,0.875,1.0,1.0,0.8031135531135531,1.0,1.0
MSC10,MSC04,pres2,0.5800000000000001,0.8,1.0,0.5449561403508771,,0.8
MSC10,MSC04,pres3,0.625,0.7,1.0,0.5725834193326453,,0.7
MSC10,MSC05,pres1,0.7,1.0,1.0,0.6265756302521008,1.0,1.0
MSC10,MSC05,pres2,0.725,0.8,1.0,0.6489028944911298,,0.8
MSC10,MSC05,pres3,0.525,0.7,,0.513157894736842,,0.7
MSC10,MSC06,pres1,0.71,1.0,1.0,0.6364551083591331,1.0,1.0
MSC10,MSC06,pres2,0.545,0.8,,0.5236842105263158,,0.8
MSC10,MSC06,pres3,0.5,0.7,,0.5,,0.7
MSC10,MSC07,pres1,0.555,1.0,1.0,0.5292397660818713,1.0,1.0
MSC10,MSC07,pres2,0.5,0.8,,0.5,,0.8
MSC10,MSC07,pres3,0.5,0.7,,0.5,,0.7
