train_task,test_task,train_sub,test_sub,Analysis,acc
motor,mem,MSC05,MSC06,Different Person,0.0
mem,glass,MSC05,MSC06,Different Person,0.4888888888888889
mem,semantic,MSC05,MSC06,Different Person,0.64
mem,motor,MSC05,MSC06,Different Person,0.7777777777777778
glass,semantic,MSC05,MSC07,Different Person,0.05
glass,motor,MSC05,MSC07,Different Person,0.12222222222222222
glass,mem,MSC05,MSC07,Different Person,0.0
semantic,glass,MSC05,MSC07,Different Person,0.15
semantic,motor,MSC05,MSC07,Different Person,0.6111111111111112
semantic,mem,MSC05,MSC07,Different Person,0.030000000000000002
motor,glass,MSC05,MSC07,Different Person,0.1
motor,semantic,MSC05,MSC07,Different Person,0.04
motor,mem,MSC05,MSC07,Different Person,0.060000000000000005
mem,glass,MSC05,MSC07,Different Person,0.72
mem,semantic,MSC05,MSC07,Different Person,0.7
mem,motor,MSC05,MSC07,Different Person,0.9333333333333333
glass,semantic,MSC05,MSC10,Different Person,0.08
glass,motor,MSC05,MSC10,Different Person,0.09000000000000001
glass,mem,MSC05,MSC10,Different Person,0.0
semantic,glass,MSC05,MSC10,Different Person,0.1
semantic,motor,MSC05,MSC10,Different Person,0.18
semantic,mem,MSC05,MSC10,Different Person,0.02
motor,glass,MSC05,MSC10,Different Person,0.01
motor,semantic,MSC05,MSC10,Different Person,0.02
motor,mem,MSC05,MSC10,Different Person,0.01
mem,glass,MSC05,MSC10,Different Person,0.88
mem,semantic,MSC05,MSC10,Different Person,0.64
mem,motor,MSC05,MSC10,Different Person,0.91
glass,semantic,MSC06,MSC01,Different Person,0.1
glass,motor,MSC06,MSC01,Different Person,0.07777777777777778
glass,mem,MSC06,MSC01,Different Person,0.08888888888888889
semantic,glass,MSC06,MSC01,Different Person,0.17
semantic,motor,MSC06,MSC01,Different Person,0.22
semantic,mem,MSC06,MSC01,Different Person,0.13
motor,glass,MSC06,MSC01,Different Person,0.05555555555555556
motor,semantic,MSC06,MSC01,Different Person,0.08888888888888889
motor,mem,MSC06,MSC01,Different Person,0.11111111111111112
mem,glass,MSC06,MSC01,Different Person,0.89
mem,semantic,MSC06,MSC01,Different Person,0.9
mem,motor,MSC06,MSC01,Different Person,0.91
glass,semantic,MSC06,MSC02,Different Person,0.011111111111111112
glass,motor,MSC06,MSC02,Different Person,0.0
glass,mem,MSC06,MSC02,Different Person,0.0
semantic,glass,MSC06,MSC02,Different Person,0.16
semantic,motor,MSC06,MSC02,Different Person,0.0
semantic,mem,MSC06,MSC02,Different Person,0.030000000000000002
motor,glass,MSC06,MSC02,Different Person,0.08888888888888889
