train_task,test_task,train_sub,test_sub,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
pres1,pres2,MSC03,MSC07,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC07,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC07,0.5,0.6875,,0.5,,0.6875
pres2,pres3,MSC03,MSC07,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC07,0.5,0.6875,,0.5,,0.6875
pres3,pres2,MSC03,MSC07,0.5,0.6875,,0.5,,0.6875
pres1,pres2,MSC03,MSC10,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC10,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC10,0.50625,0.6875,,0.5032894736842105,,0.6875
pres2,pres3,MSC03,MSC10,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC10,0.5,0.6875,,0.5,,0.6875
pres3,pres2,MSC03,MSC10,0.5,0.6875,,0.5,,0.6875
pres1,pres2,MSC04,MSC01,0.645,0.9,1.0,0.5849673202614379,,0.9
pres1,pres3,MSC04,MSC01,0.655,0.9,,0.6092314118629908,,0.9
pres2,pres1,MSC04,MSC01,0.6,0.8,1.0,0.5562435500515996,,0.8
pres2,pres3,MSC04,MSC01,0.5,0.8,,0.5,,0.8
pres3,pres1,MSC04,MSC01,0.71,0.85,1.0,0.6387111254758313,,0.85
pres3,pres2,MSC04,MSC01,0.64,0.85,1.0,0.5845004668534081,,0.85
pres1,pres2,MSC04,MSC02,0.6799999999999999,0.9,1.0,0.6131769374416434,,0.9
pres1,pres3,MSC04,MSC02,0.535,0.9,,0.5187134502923977,,0.9
pres2,pres1,MSC04,MSC02,0.5650000000000001,0.8,,0.5357241142070863,,0.8
pres2,pres3,MSC04,MSC02,0.54,0.8,,0.5216374269005848,,0.8
pres3,pres1,MSC04,MSC02,0.705,0.85,1.0,0.6325603318250377,,0.85
pres3,pres2,MSC04,MSC02,0.66,0.85,1.0,0.5987333529903189,,0.85
pres1,pres2,MSC04,MSC03,0.7888888888888889,0.9,1.0,0.7252747252747253,,0.9
pres1,pres3,MSC04,MSC03,0.8,0.9,1.0,0.7371794871794872,,0.9
pres2,pres1,MSC04,MSC03,0.6222222222222222,0.8,1.0,0.5955882352941176,,0.8
pres2,pres3,MSC04,MSC03,0.5555555555555556,0.8,,0.5555555555555556,,0.8
pres3,pres1,MSC04,MSC03,0.8944444444444444,0.85,0.975,0.8580885780885781,,0.85
