train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC04,MSC07,motor,1.0,1.0,1.0,1.0,1.0,1.0
MSC04,MSC07,mem,0.95,1.0,0.9484848484848485,0.9616161616161616,1.0,1.0
MSC04,MSC10,glass,0.785,0.95,0.9857142857142858,0.7025641025641025,,0.95
MSC04,MSC10,semantic,0.72,0.95,1.0,0.6433473389355743,,0.95
MSC04,MSC10,motor,0.97,1.0,1.0,0.9454545454545454,1.0,1.0
MSC04,MSC10,mem,0.995,1.0,0.990909090909091,1.0,1.0,1.0
MSC05,MSC01,glass,0.75,0.95,1.0,0.6698412698412698,,0.95
MSC05,MSC01,semantic,0.94,0.95,1.0,0.8951048951048951,,0.95
MSC05,MSC01,motor,0.91,1.0,1.0,0.8496503496503497,1.0,1.0
MSC05,MSC01,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC05,MSC02,glass,0.785,0.95,0.7906546231546232,0.7860245310245311,,0.95
MSC05,MSC02,semantic,0.84,0.95,1.0,0.7582417582417583,,0.95
MSC05,MSC02,motor,0.895,1.0,0.8292540792540792,1.0,1.0,1.0
MSC05,MSC02,mem,0.8,1.0,0.7142857142857143,1.0,1.0,1.0
MSC05,MSC03,glass,0.88,0.95,1.0,0.8121045621045622,,0.95
MSC05,MSC03,semantic,0.95,0.95,1.0,0.9121212121212121,,0.95
MSC05,MSC03,motor,0.98,1.0,1.0,0.9636363636363636,1.0,1.0
MSC05,MSC03,mem,0.9444444444444444,1.0,0.9875,0.9172727272727272,1.0,1.0
MSC05,MSC04,glass,0.76,0.95,1.0,0.6761904761904761,,0.95
MSC05,MSC04,semantic,0.7,0.95,1.0,0.625,,0.95
MSC05,MSC04,motor,0.95,1.0,1.0,0.9090909090909091,1.0,1.0
MSC05,MSC04,mem,0.825,1.0,1.0,0.7432234432234432,1.0,1.0
MSC05,MSC06,glass,0.6842105263157895,0.95,1.0,0.625,,0.95
MSC05,MSC06,semantic,0.77,0.95,1.0,0.6863095238095238,,0.95
MSC05,MSC06,motor,0.9473684210526315,1.0,1.0,0.9090909090909091,1.0,1.0
